book	chapter	verse	sort	hebrew	strong	bsb	pnc
2KI	1	1	236319	אַחֲרֵ֖י	H310	After	
2KI	1	1	236320	מ֥וֹת	H4194	the death	
2KI	1	1	236321	אַחְאָֽב׃	H256	of Ahab	,
2KI	1	1	236317	מוֹאָב֙	H4124	Moab	
2KI	1	1	236316	וַיִּפְשַׁ֤ע	H6586	rebelled	
2KI	1	1	236318	בְּיִשְׂרָאֵ֔ל	H3478	against Israel	.
2KI	1	2	236333	אֲחַזְיָ֜ה	H274	Now Ahaziah	
2KI	1	2	236332	וַיִּפֹּ֨ל	H5307	had fallen	
2KI	1	2	236334	בְּעַ֣ד	H1157	through	
2KI	1	2	236335	הַשְּׂבָכָ֗ה	H7639	the lattice	
2KI	1	2	236336	בַּעֲלִיָּת֛וֹ	H5944	of his upper room	
2KI	1	2	236337	אֲשֶׁ֥ר	H834	-	
2KI	1	2	236338	בְּשֹׁמְר֖וֹן	H8111	in Samaria	
2KI	1	2	236339	וַיָּ֑חַל	H2470	and injured himself	.
2KI	1	2	236340	וַיִּשְׁלַ֣ח	H7971	So he sent	
2KI	1	2	236341	מַלְאָכִ֔ים	H4397	messengers	
2KI	1	2	236342	וַיֹּ֤אמֶר	H559	and instructed them	:
2KI	1	2	236343	אֲלֵהֶם֙	H413	. . .	
2KI	1	2	236344	לְכ֣וּ	H1980	Go	
2KI	1	2	236345	דִרְשׁ֗וּ	H1875	inquire	
2KI	1	2	236346	בְּבַ֤עַל	H1176	vvv	
2KI	1	2	236347	זְבוּב֙	H1176	of Baal-zebub	,
2KI	1	2	236348	אֱלֹהֵ֣י	H430	the god	
2KI	1	2	236349	עֶקְר֔וֹן	H6138	of Ekron	,
2KI	1	2	236350	אִם־	H518	whether	
2KI	1	2	236351	אֶחְיֶ֖ה	H2421	I will recover	
2KI	1	2	236353	זֶֽה׃ס	H2088	from this	
2KI	1	2	236352	מֵחֳלִ֥י	H2483	injury	.
2KI	1	3	236365	וּמַלְאַ֣ךְ	H4397	But the angel	
2KI	1	3	236366	יְהוָ֗ה	H3068	of the LORD	
2KI	1	3	236367	דִּבֶּר֙	H1696	said	
2KI	1	3	236368	אֶל־	H413	to	
2KI	1	3	236369	אֵלִיָּ֣ה	H452	Elijah	
2KI	1	3	236370	הַתִּשְׁבִּ֔י	H8664	the Tishbite	,
2KI	1	3	236371	ק֣וּם	H6965	. . .	
2KI	1	3	236372	עֲלֵ֔ה	H5927	Go up	
2KI	1	3	236373	לִקְרַ֖את	H7122	to meet	
2KI	1	3	236374	מַלְאֲכֵ֣י	H4397	the messengers	
2KI	1	3	236375	מֶֽלֶךְ־	H4428	of the king	
2KI	1	3	236376	שֹׁמְר֑וֹן	H8111	of Samaria	
2KI	1	3	236377	וְדַבֵּ֣ר	H1696	and ask them	,
2KI	1	3	236378	אֲלֵהֶ֔ם	H413	. . .	
2KI	1	3	236379	הַֽמִבְּלִ֤י	H1097	[Is [it] because	
2KI	1	3	236380	אֵין־	H369	[there is] no	
2KI	1	3	236381	אֱלֹהִים֙	H430	God	
2KI	1	3	236382	בְּיִשְׂרָאֵ֔ל	H3478	in Israel	
2KI	1	3	236383	אַתֶּם֙	H859	that you	
2KI	1	3	236384	הֹֽלְכִ֔ים	H1980	are on your way	
2KI	1	3	236385	לִדְרֹ֕שׁ	H1875	to inquire	
2KI	1	3	236386	בְּבַ֥עַל	H1176	vvv	
2KI	1	3	236387	זְב֖וּב	H1176	of Baal-zebub	,
2KI	1	3	236388	אֱלֹהֵ֥י	H430	the god	
2KI	1	3	236389	עֶקְרֽוֹן׃	H6138	of Ekron	?
2KI	1	4	236400	וְלָכֵן֙	H3651	Therefore	
2KI	1	4	236401	כֹּֽה־	H3541	this is what	
2KI	1	4	236403	יְהוָ֔ה	H3068	the LORD	
2KI	1	4	236402	אָמַ֣ר	H559	says	:
2KI	1	4	236408	לֹֽא־	H3808	You will not	
2KI	1	4	236409	תֵרֵ֥ד	H3381	get up	
2KI	1	4	236410	מִמֶּ֖נָּה	H4480	from	
2KI	1	4	236411	כִּ֣י	H3588	. . .	
2KI	1	4	236404	הַמִּטָּ֞ה	H4296	the bed	
2KI	1	4	236405	אֲשֶׁר־	H834	on which	
2KI	1	4	236406	עָלִ֥יתָ	H5927	you are lying	.
2KI	1	4	236407	שָּׁ֛ם	H8033	. . .	
2KI	1	4	236412	מ֣וֹת	H4191	You will surely die	
2KI	1	4	236413	תָּמ֑וּת	H4191	. . .	.
2KI	1	4	236415	אֵלִיָּֽה׃	H452	So Elijah	
2KI	1	4	236414	וַיֵּ֖לֶךְ	H1980	departed	.
2KI	1	5	236427	הַמַּלְאָכִ֖ים	H4397	When the messengers	
2KI	1	5	236426	וַיָּשׁ֥וּבוּ	H7725	returned	
2KI	1	5	236428	אֵלָ֑יו	H413	to the king	,
2KI	1	5	236429	וַיֹּ֥אמֶר	H559	he asked them	,
2KI	1	5	236430	אֲלֵיהֶ֖ם	H413	. . .	
2KI	1	5	236431	מַה־	H4100	Why	
2KI	1	5	236432	זֶּ֥ה	H2088	. . .	
2KI	1	5	236433	שַׁבְתֶּֽם׃	H7725	have you returned	?
2KI	1	6	236444	וַיֹּאמְר֨וּ	H559	They replied	
2KI	1	6	236445	אֵלָ֜יו	H413		,
2KI	1	6	236446	אִ֣ישׁ׀	H376	A man	
2KI	1	6	236447	עָלָ֣ה	H5927	came up	
2KI	1	6	236448	לִקְרָאתֵ֗נוּ	H7122	to meet us	
2KI	1	6	236449	וַיֹּ֣אמֶר	H559	and said	
2KI	1	6	236450	אֵלֵינוּ֮	H413	-	,
2KI	1	6	236451	לְכ֣וּ	H1980	Go	
2KI	1	6	236452	שׁוּבוּ֮	H7725	back	
2KI	1	6	236453	אֶל־	H413	to	
2KI	1	6	236454	הַמֶּ֣לֶךְ	H4428	the king	
2KI	1	6	236455	אֲשֶׁר־	H834	who	
2KI	1	6	236456	שָׁלַ֣ח	H7971	sent	
2KI	1	6	236457	אֶתְכֶם֒	H853	you	
2KI	1	6	236458	וְדִבַּרְתֶּ֣ם	H1696	and tell	
2KI	1	6	236459	אֵלָ֗יו	H413	him	
2KI	1	6	236460	כֹּ֚ה	H3541	that this is what	
2KI	1	6	236462	יְהוָ֔ה	H3068	the LORD	
2KI	1	6	236461	אָמַ֣ר	H559	says	:
2KI	1	6	236463	הַֽמִבְּלִ֤י	H1097	Is it because	
2KI	1	6	236464	אֵין־	H369	there is no	
2KI	1	6	236465	אֱלֹהִים֙	H430	God	
2KI	1	6	236466	בְּיִשְׂרָאֵ֔ל	H3478	in Israel	
2KI	1	6	236467	אַתָּ֣ה	H859	that you are	
2KI	1	6	236468	שֹׁלֵ֔חַ	H7971	sending	
2KI	1	6	236469	לִדְרֹ֕שׁ	H1875	these men to inquire	
2KI	1	6	236470	בְּבַ֥עַל	H1176	vvv	
2KI	1	6	236471	זְב֖וּב	H1176	of Baal-zebub	,
2KI	1	6	236472	אֱלֹהֵ֣י	H430	the god	
2KI	1	6	236473	עֶקְר֑וֹן	H6138	of Ekron	?
2KI	1	6	236474	לָ֠כֵן	H3651	Therefore	
2KI	1	6	236479	לֹֽא־	H3808	you will not	
2KI	1	6	236480	תֵרֵ֥ד	H3381	get up	
2KI	1	6	236475	הַמִּטָּ֞ה	H4296	from the bed	
2KI	1	6	236476	אֲשֶׁר־	H834	on which	
2KI	1	6	236477	עָלִ֥יתָ	H5927	you are lying	
2KI	1	6	236478	שָּׁ֛ם	H8033	. . .	.
2KI	1	6	236481	מִמֶּ֖נָּה	H4480	-	
2KI	1	6	236482	כִּֽי־	H3588	-	
2KI	1	6	236483	מ֥וֹת	H4191	You will surely die	
2KI	1	6	236484	תָּמֽוּת׃	H4191	. . .	.
2KI	1	7	236495	וַיְדַבֵּ֣ר	H1696	The king asked them	,
2KI	1	7	236496	אֲלֵהֶ֔ם	H413	. . .	
2KI	1	7	236497	מֶ֚ה	H4100	What	
2KI	1	7	236498	מִשְׁפַּ֣ט	H4941	sort	
2KI	1	7	236499	הָאִ֔ישׁ	H376	of man	
2KI	1	7	236500	אֲשֶׁ֥ר	H834	-	
2KI	1	7	236501	עָלָ֖ה	H5927	came up	
2KI	1	7	236502	לִקְרַאתְכֶ֑ם	H7122	to meet	
2KI	1	7	236503	וַיְדַבֵּ֣ר	H1696	you and spoke	
2KI	1	7	236507	הָאֵֽלֶּה׃	H428	these	
2KI	1	7	236506	הַדְּבָרִ֖ים	H1697	words	
2KI	1	7	236504	אֲלֵיכֶ֔ם	H413	to you	?
2KI	1	7	236505	אֶת־	H853	-	
2KI	1	8	236522	שֵׂעָ֔ר	H8181	[He was] a hairy	
2KI	1	8	236520	אִ֚ישׁ	H376	man	,
2KI	1	8	236521	בַּ֣עַל	H1167	. . .	
2KI	1	8	236518	וַיֹּאמְר֣וּ	H559	they answered	,
2KI	1	8	236519	אֵלָ֗יו	H413	. . .	
2KI	1	8	236524	ע֖וֹר	H5785	with a leather	
2KI	1	8	236525	אָז֣וּר	H247	. . .	
2KI	1	8	236523	וְאֵז֥וֹר	H232	belt	
2KI	1	8	236526	בְּמָתְנָ֑יו	H4975	around his waist	.
2KI	1	8	236530	הֽוּא׃	H1931	It [was]	
2KI	1	8	236528	אֵלִיָּ֥ה	H452	Elijah	
2KI	1	8	236529	הַתִּשְׁבִּ֖י	H8664	the Tishbite	,
2KI	1	8	236527	וַיֹּאמַ֕ר	H559	said [the king]	.
2KI	1	9	236541	וַיִּשְׁלַ֥ח	H7971	Then King Ahaziah sent	
2KI	1	9	236542	אֵלָ֛יו	H413	to Elijah	
2KI	1	9	236543	שַׂר־	H8269	a captain	
2KI	1	9	236544	חֲמִשִּׁ֖ים	H2572	vvv	
2KI	1	9	236545	וַחֲמִשָּׁ֑יו	H2572	with his company of fifty men	.
2KI	1	9	236546	וַיַּ֣עַל	H5927	So the captain went up	
2KI	1	9	236547	אֵלָ֗יו	H413	to [Elijah]	,
2KI	1	9	236548	וְהִנֵּה֙	H2009	. . .	
2KI	1	9	236549	יֹשֵׁב֙	H3427	who was sitting	
2KI	1	9	236550	עַל־	H5921	on	
2KI	1	9	236551	רֹ֣אשׁ	H7218	top	
2KI	1	9	236552	הָהָ֔ר	H2022	of a hill	,
2KI	1	9	236553	וַיְדַבֵּ֣ר	H1696	and said	
2KI	1	9	236554	אֵלָ֔יו	H413	to him	,
2KI	1	9	236555	אִ֚ישׁ	H376	Man	
2KI	1	9	236556	הָֽאֱלֹהִ֔ים	H430	of God	,
2KI	1	9	236557	הַמֶּ֥לֶךְ	H4428	the king	
2KI	1	9	236558	דִּבֶּ֖ר	H1696	declares	,
2KI	1	9	236559	רֵֽדָה׃	H3381	Come down	!
2KI	1	10	236571	אֵלִיָּ֗הוּ	H452	Elijah	
2KI	1	10	236572	וַיְדַבֵּר֮	H1696	. . .	
2KI	1	10	236570	וַיַּעֲנֶ֣ה	H6030	answered	
2KI	1	10	236573	אֶל־	H413	. . .	
2KI	1	10	236574	שַׂ֣ר	H8269	the captain	
2KI	1	10	236575	הַחֲמִשִּׁים֒	H2572	. . .	,
2KI	1	10	236576	וְאִם־	H518	If	
2KI	1	10	236579	אָ֔נִי	H589	I	
2KI	1	10	236577	אִ֤ישׁ	H376	am a man	
2KI	1	10	236578	אֱלֹהִים֙	H430	of God	,
2KI	1	10	236581	אֵשׁ֙	H784	may fire	
2KI	1	10	236580	תֵּ֤רֶד	H3381	come down	
2KI	1	10	236582	מִן־	H4480	from	
2KI	1	10	236583	הַשָּׁמַ֔יִם	H8064	heaven	
2KI	1	10	236584	וְתֹאכַ֥ל	H398	and consume	
2KI	1	10	236585	אֹתְךָ֖	H853	you	
2KI	1	10	236586	וְאֶת־	H853	and	
2KI	1	10	236587	חֲמִשֶּׁ֑יךָ	H2572	[your] fifty [men]	.
2KI	1	10	236589	אֵשׁ֙	H784	And fire	
2KI	1	10	236588	וַתֵּ֤רֶד	H3381	came down	
2KI	1	10	236590	מִן־	H4480	from	
2KI	1	10	236591	הַשָּׁמַ֔יִם	H8064	heaven	
2KI	1	10	236592	וַתֹּ֥אכַל	H398	and consumed	
2KI	1	10	236593	אֹת֖וֹ	H853	[the captain]	
2KI	1	10	236594	וְאֶת־	H853	and	
2KI	1	10	236595	חֲמִשָּֽׁיו׃	H2572	[his] fifty men	.
2KI	1	11	236606	וַיָּ֜שָׁב	H7725	-	
2KI	1	11	236607	וַיִּשְׁלַ֥ח	H7971	So the king sent	
2KI	1	11	236608	אֵלָ֛יו	H413	to Elijah	
2KI	1	11	236611	אַחֵ֖ר	H312	another	
2KI	1	11	236609	שַׂר־	H8269	captain	
2KI	1	11	236610	חֲמִשִּׁ֥ים	H2572	. . .	
2KI	1	11	236612	וַחֲמִשָּׁ֑יו	H2572	[with his] fifty [men]	.
2KI	1	11	236613	וַיַּ֙עַן֙	H6030	And [the captain]	
2KI	1	11	236614	וַיְדַבֵּ֣ר	H1696	said	
2KI	1	11	236615	אֵלָ֔יו	H413	to [Elijah]	,
2KI	1	11	236616	אִ֚ישׁ	H376	Man	
2KI	1	11	236617	הָאֱלֹהִ֔ים	H430	of God	,
2KI	1	11	236618	כֹּֽה־	H3541	-	
2KI	1	11	236620	הַמֶּ֖לֶךְ	H4428	the king	
2KI	1	11	236619	אָמַ֥ר	H559	declares	,
2KI	1	11	236622	רֵֽדָה׃	H3381	Come down	
2KI	1	11	236621	מְהֵרָ֥ה	H4120	at once	!
2KI	1	12	236634	אֵלִיָּה֮	H452	Again Elijah	
2KI	1	12	236635	וַיְדַבֵּ֣ר	H1696	. . .	
2KI	1	12	236636	אֲלֵיהֶם֒	H413	. . .	
2KI	1	12	236633	וַיַּ֣עַן	H6030	replied	,
2KI	1	12	236637	אִם־	H518	If	
2KI	1	12	236640	אָ֔נִי	H589	I	
2KI	1	12	236638	אִ֤ישׁ	H376	am a man	
2KI	1	12	236639	הָֽאֱלֹהִים֙	H430	of God	,
2KI	1	12	236642	אֵשׁ֙	H784	may fire	
2KI	1	12	236641	תֵּ֤רֶד	H3381	come down	
2KI	1	12	236643	מִן־	H4480	from	
2KI	1	12	236644	הַשָּׁמַ֔יִם	H8064	heaven	
2KI	1	12	236645	וְתֹאכַ֥ל	H398	and consume	
2KI	1	12	236646	אֹתְךָ֖	H853	you	
2KI	1	12	236647	וְאֶת־	H853	and	
2KI	1	12	236648	חֲמִשֶּׁ֑יךָ	H2572	[your] fifty [men]	.
2KI	1	12	236650	אֵשׁ־	H784	And the fire	
2KI	1	12	236651	אֱלֹהִים֙	H430	of God	
2KI	1	12	236649	וַתֵּ֤רֶד	H3381	came down	
2KI	1	12	236652	מִן־	H4480	from	
2KI	1	12	236653	הַשָּׁמַ֔יִם	H8064	heaven	
2KI	1	12	236654	וַתֹּ֥אכַל	H398	and consumed	
2KI	1	12	236655	אֹת֖וֹ	H853	[the captain]	
2KI	1	12	236656	וְאֶת־	H853	and	
2KI	1	12	236657	חֲמִשָּֽׁיו׃	H2572	[his] fifty men	.
2KI	1	13	236668	וַיָּ֗שָׁב	H7725	So	
2KI	1	13	236669	וַיִּשְׁלַ֛ח	H7971	the king sent	
2KI	1	13	236672	שְׁלִשִׁ֖ים	H7992	a third	
2KI	1	13	236670	שַׂר־	H8269	captain	
2KI	1	13	236671	חֲמִשִּׁ֥ים	H2572	with his fifty men	.
2KI	1	13	236678	הַשְּׁלִישִׁ֜י	H7992	And the third	
2KI	1	13	236676	שַׂר־	H8269	captain	
2KI	1	13	236677	הַחֲמִשִּׁ֨ים	H2572		
2KI	1	13	236673	וַחֲמִשָּׁ֑יו	H2572	-	
2KI	1	13	236674	וַיַּ֡עַל	H5927	went up	,
2KI	1	13	236675	וַיָּבֹא֩	H935	. . .	
2KI	1	13	236679	וַיִּכְרַ֥ע	H3766	fell	
2KI	1	13	236680	עַל־	H5921	on	
2KI	1	13	236681	בִּרְכָּ֣יו׀	H1290	his knees	
2KI	1	13	236682	לְנֶ֣גֶד	H5048	before	
2KI	1	13	236683	אֵלִיָּ֗הוּ	H452	Elijah	,
2KI	1	13	236684	וַיִּתְחַנֵּ֤ן	H2603	and begged him	
2KI	1	13	236685	אֵלָיו֙	H413	. . .	
2KI	1	13	236686	וַיְדַבֵּ֣ר	H1696	. . .	
2KI	1	13	236687	אֵלָ֔יו	H413	. . .	,
2KI	1	13	236688	אִ֚ישׁ	H376	Man	
2KI	1	13	236689	הָֽאֱלֹהִ֔ים	H430	of God	,
2KI	1	13	236692	נַפְשִׁ֗י	H5315	may my life	
2KI	1	13	236693	וְנֶ֨פֶשׁ	H5315	and the lives	
2KI	1	13	236695	אֵ֛לֶּה	H428	of these	
2KI	1	13	236696	חֲמִשִּׁ֖ים	H2572	fifty	
