book	chapter	verse	sort	hebrew	strong	bsb	pnc
SNG	1	1	404824	אֲשֶׁ֥ר	H834	This [is]	
SNG	1	1	404825	לִשְׁלֹמֹֽה׃	H8010	Solomon’s	
SNG	1	1	404822	שִׁ֥יר	H7892	Song	
SNG	1	1	404823	הַשִּׁירִ֖ים	H7892	of Songs	.
SNG	1	2	404836	יִשָּׁקֵ֙נִי֙	H5401	Let him kiss me	
SNG	1	2	404837	מִנְּשִׁיק֣וֹת	H5390	with the kisses	
SNG	1	2	404838	פִּ֔יהוּ	H6310	of his mouth	!
SNG	1	2	404839	כִּֽי־	H3588	For	
SNG	1	2	404841	דֹּדֶ֖יךָ	H1730	your love	
SNG	1	2	404840	טוֹבִ֥ים	H2896	is more delightful	
SNG	1	2	404842	מִיָּֽיִן׃	H3196	than wine	.
SNG	1	3	404853	לְרֵ֙יחַ֙	H7381	The fragrance	
SNG	1	3	404854	שְׁמָנֶ֣יךָ	H8081	of your perfume	
SNG	1	3	404855	טוֹבִ֔ים	H2896	is pleasing	;
SNG	1	3	404858	שְׁמֶ֑ךָ	H8034	your name	
SNG	1	3	404856	שֶׁ֖מֶן	H8081	is like perfume	
SNG	1	3	404857	תּוּרַ֣ק	H7324	poured out	.
SNG	1	3	404859	עַל־	H5921	No wonder	
SNG	1	3	404860	כֵּ֖ן	H3651	. . .	
SNG	1	3	404861	עֲלָמ֥וֹת	H5959	the maidens	
SNG	1	3	404862	אֲהֵבֽוּךָ׃	H157	adore you	.
SNG	1	4	404873	מָשְׁכֵ֖נִי	H4900	Take me	
SNG	1	4	404874	אַחֲרֶ֣יךָ	H310	away with you	—
SNG	1	4	404875	נָּר֑וּצָה	H7323	let us hurry	!
SNG	1	4	404877	הַמֶּ֜לֶךְ	H4428	May the king	
SNG	1	4	404876	הֱבִיאַ֨נִי	H935	bring me	
SNG	1	4	404878	חֲדָרָ֗יו	H2315	to his chambers	.
SNG	1	4	404879	נָגִ֤ילָה	H1523	We will rejoice	
SNG	1	4	404880	וְנִשְׂמְחָה֙	H8055	and delight	
SNG	1	4	404881	בָּ֔ךְ		in you	;
