book	chapter	verse	sort	greek	strong	bsb	pnc
MAT	1	1	1	Βίβλος	G976	[This is the] record	
MAT	1	1	2	γενέσεως	G1078	of [the] genealogy	
MAT	1	1	3	Ἰησοῦ	G2424	of Jesus	
MAT	1	1	4	Χριστοῦ	G5547	Christ	,
MAT	1	1	5	υἱοῦ	G5207	[the] son	
MAT	1	1	6	Δαυὶδ	G1138	of David	,
MAT	1	1	7	υἱοῦ	G5207	[the] son	
MAT	1	1	8	Ἀβραάμ	G11	of Abraham	:
MAT	1	2	19	Ἀβραὰμ	G11	Abraham	
MAT	1	2	20	ἐγέννησεν	G1080	was the father of	
MAT	1	2	21	τὸν	G3588	-	
MAT	1	2	22	Ἰσαάκ	G2464	Isaac	,
MAT	1	2	24	δὲ	G1161	-	
MAT	1	2	23	Ἰσαὰκ	G2464	Isaac	
MAT	1	2	25	ἐγέννησεν	G1080	the father of	
MAT	1	2	26	τὸν	G3588	-	
MAT	1	2	27	Ἰακώβ	G2384	Jacob	,
MAT	1	2	29	δὲ	G1161	and	
MAT	1	2	28	Ἰακὼβ	G2384	Jacob	
MAT	1	2	30	ἐγέννησεν	G1080	the father of	
MAT	1	2	31	τὸν	G3588	-	
MAT	1	2	32	Ἰούδαν	G2455	Judah	
MAT	1	2	33	καὶ	G2532	and	
MAT	1	2	34	τοὺς	G3588	-	
MAT	1	2	36	αὐτοῦ	G846	his	
MAT	1	2	35	ἀδελφοὺς	G80	brothers	.
MAT	1	3	47	Ἰούδας	G2455	Judah	
MAT	1	3	48	δὲ	G1161	-	
MAT	1	3	49	ἐγέννησεν	G1080	was the father of	
MAT	1	3	50	τὸν	G3588	-	
MAT	1	3	51	Φαρὲς	G5329	Perez	
MAT	1	3	52	καὶ	G2532	and	
MAT	1	3	53	τὸν	G3588	-	
MAT	1	3	54	Ζαρὰ	G2196	Zerah	
MAT	1	3	55	ἐκ	G1537	by	
MAT	1	3	56	τῆς	G3588	-	
MAT	1	3	57	Θάμαρ	G2283	Tamar	,
MAT	1	3	58	Φαρὲς	G5329	Perez	
MAT	1	3	59	δὲ	G1161	-	
MAT	1	3	60	ἐγέννησεν	G1080	the father of	
MAT	1	3	61	τὸν	G3588	-	
MAT	1	3	62	Ἑσρώμ	G2074	Hezron	,
MAT	1	3	64	δὲ	G1161	and	
MAT	1	3	63	Ἑσρὼμ	G2074	Hezron	
MAT	1	3	65	ἐγέννησεν	G1080	the father of	
MAT	1	3	66	τὸν	G3588	-	
MAT	1	3	67	Ἀράμ	G689	Ram	.
MAT	1	4	78	Ἀρὰμ	G689	Ram	
MAT	1	4	79	δὲ	G1161	-	
MAT	1	4	80	ἐγέννησεν	G1080	was the father of	
MAT	1	4	81	τὸν	G3588	-	
MAT	1	4	82	Ἀμιναδάβ	G284	Amminadab	,
MAT	1	4	83	Ἀμιναδὰβ	G284	Amminadab	
MAT	1	4	84	δὲ	G1161	-	
MAT	1	4	85	ἐγέννησεν	G1080	the father of	
MAT	1	4	86	τὸν	G3588	-	
MAT	1	4	87	Ναασσών	G3476	Nahshon	,
MAT	1	4	89	δὲ	G1161	and	
MAT	1	4	88	Ναασσὼν	G3476	Nahshon	
MAT	1	4	90	ἐγέννησεν	G1080	the father of	
MAT	1	4	91	τὸν	G3588	-	
MAT	1	4	92	Σαλμών	G4533	Salmon	.
MAT	1	5	103	Σαλμὼν	G4533	Salmon	
MAT	1	5	104	δὲ	G1161	-	
MAT	1	5	105	ἐγέννησεν	G1080	was the father of	
MAT	1	5	106	τὸν	G3588	-	
MAT	1	5	107	Βόες	G1003	Boaz	
MAT	1	5	108	ἐκ	G1537	by	
MAT	1	5	109	τῆς	G3588	-	
MAT	1	5	110	Ῥαχάβ	G4477	Rahab	,
MAT	1	5	111	Βόες	G1003	Boaz	
MAT	1	5	112	δὲ	G1161	-	
MAT	1	5	113	ἐγέννησεν	G1080	the father of	
MAT	1	5	114	τὸν	G3588	-	
MAT	1	5	115	Ἰωβὴδ	G5601	Obed	
MAT	1	5	116	ἐκ	G1537	by	
MAT	1	5	117	τῆς	G3588	-	
MAT	1	5	118	Ῥούθ	G4503	Ruth	,
MAT	1	5	120	δὲ	G1161	-	
MAT	1	5	119	Ἰωβὴδ	G5601	Obed	
MAT	1	5	121	ἐγέννησεν	G1080	the father of	
MAT	1	5	122	τὸν	G3588	-	
MAT	1	5	123	Ἰεσσαί	G2421	Jesse	,
MAT	1	6	135	δὲ	G1161	and	
MAT	1	6	134	Ἰεσσαὶ	G2421	Jesse	
MAT	1	6	136	ἐγέννησεν	G1080	the father of	
MAT	1	6	137	τὸν	G3588	-	
MAT	1	6	138	Δαυὶδ	G1138	David	
MAT	1	6	139	τὸν	G3588	the	
MAT	1	6	140	βασιλέα	G935	king	.
MAT	1	6	142	δὲ	G1161	Next	:
MAT	1	6	141	Δαυὶδ	G1138	David	
MAT	1	6	143	ἐγέννησεν	G1080	was the father of	
MAT	1	6	144	τὸν	G3588	-	
MAT	1	6	145	Σολομῶνα	G4672	Solomon	
MAT	1	6	146	ἐκ	G1537	by	
MAT	1	6	148	τοῦ	G3588	. . .	
MAT	1	6	149	Οὐρίου	G3774	Uriah’s	
MAT	1	6	147	τῆς	G3588	[wife]	,
MAT	1	7	160	Σολομὼν	G4672	Solomon	
MAT	1	7	161	δὲ	G1161	-	
MAT	1	7	162	ἐγέννησεν	G1080	the father of	
MAT	1	7	163	τὸν	G3588	-	
MAT	1	7	164	Ῥοβοάμ	G4497	Rehoboam	,
MAT	1	7	165	Ῥοβοὰμ	G4497	Rehoboam	
MAT	1	7	166	δὲ	G1161	-	
MAT	1	7	167	ἐγέννησεν	G1080	the father of	
MAT	1	7	168	τὸν	G3588	-	
MAT	1	7	169	Ἀβιά	G7	Abijah	,
MAT	1	7	171	δὲ	G1161	and	
MAT	1	7	170	Ἀβιὰ	G7	Abijah	
MAT	1	7	172	ἐγέννησεν	G1080	the father of	
MAT	1	7	173	τὸν	G3588	-	
MAT	1	7	174	Ἀσάφ	G760	Asa	.
MAT	1	8	185	Ἀσὰφ	G760	Asa	
MAT	1	8	186	δὲ	G1161	-	
MAT	1	8	187	ἐγέννησεν	G1080	was the father of	
MAT	1	8	188	τὸν	G3588	-	
MAT	1	8	189	Ἰωσαφάτ	G2498	Jehoshaphat	,
MAT	1	8	191	δὲ	G1161	-	
MAT	1	8	190	Ἰωσαφὰτ	G2498	Jehoshaphat	
MAT	1	8	192	ἐγέννησεν	G1080	the father of	
MAT	1	8	193	τὸν	G3588	-	
MAT	1	8	194	Ἰωράμ	G2496	Joram	,
MAT	1	8	196	δὲ	G1161	and	
MAT	1	8	195	Ἰωρὰμ	G2496	Joram	
MAT	1	8	197	ἐγέννησεν	G1080	the father of	
MAT	1	8	198	τὸν	G3588	-	
MAT	1	8	199	Ὀζίαν	G3604	Uzziah	.
MAT	1	9	210	Ὀζίας	G3604	Uzziah	
MAT	1	9	211	δὲ	G1161	-	
MAT	1	9	212	ἐγέννησεν	G1080	was the father of	
MAT	1	9	213	τὸν	G3588	-	
MAT	1	9	214	Ἰωαθάμ	G2488	Jotham	,
MAT	1	9	215	Ἰωαθὰμ	G2488	Jotham	
MAT	1	9	216	δὲ	G1161	-	
MAT	1	9	217	ἐγέννησεν	G1080	the father of	
