book	chapter	verse	sort	hebrew	strong	bsb	pnc
EST	1	1	314819	וַיְהִ֖י	H1961	This is what happened	
EST	1	1	314820	בִּימֵ֣י	H3117	in the days	
EST	1	1	314821	אֲחַשְׁוֵר֑וֹשׁ	H325	of Xerxes	,
EST	1	1	314822	ה֣וּא	H1931	. . .	
EST	1	1	314823	אֲחַשְׁוֵר֗וֹשׁ	H325	. . .	
EST	1	1	314824	הַמֹּלֵךְ֙	H4427	who reigned over	
EST	1	1	314828	שֶׁ֛בַע	H7651	127	
EST	1	1	314829	וְעֶשְׂרִ֥ים	H6242	. . .	
EST	1	1	314830	וּמֵאָ֖ה	H3967	. . .	
EST	1	1	314831	מְדִינָֽה׃	H4082	provinces	
EST	1	1	314825	מֵהֹ֣דּוּ	H1912	from India	
EST	1	1	314826	וְעַד־	H5704	to	
EST	1	1	314827	כּ֔וּשׁ	H3568	Cush	.
EST	1	2	314843	הָהֵ֑ם	H1992	In those	
EST	1	2	314842	בַּיָּמִ֖ים	H3117	days	
EST	1	2	314845	הַמֶּ֣לֶךְ	H4428	King	
EST	1	2	314846	אֲחַשְׁוֵר֗וֹשׁ	H325	Xerxes	
EST	1	2	314844	כְּשֶׁ֣בֶת׀	H3427	sat	
EST	1	2	314847	עַ֚ל	H5921	on	
EST	1	2	314849	מַלְכוּת֔וֹ	H4438	his royal	
EST	1	2	314850	אֲשֶׁ֖ר	H834	-	
EST	1	2	314848	כִּסֵּ֣א	H3678	throne	
EST	1	2	314852	הַבִּירָֽה׃	H1002	in the citadel	
EST	1	2	314851	בְּשׁוּשַׁ֥ן	H7800	of Susa	.
EST	1	3	314864	שָׁלוֹשׁ֙	H7969	In the third	
EST	1	3	314863	בִּשְׁנַ֤ת	H8141	year	
EST	1	3	314865	לְמָלְכ֔וֹ	H4427	of his reign	,
EST	1	3	314866	עָשָׂ֣ה	H6213	[Xerxes] held	
EST	1	3	314867	מִשְׁתֶּ֔ה	H4960	a feast	
EST	1	3	314868	לְכָל־	H3605	for all	
EST	1	3	314869	שָׂרָ֖יו	H8269	his officials	
EST	1	3	314870	וַעֲבָדָ֑יו	H5650	and servants	.
EST	1	3	314871	חֵ֣יל׀	H2428	The military leaders	
EST	1	3	314872	פָּרַ֣ס	H6539	of Persia	
EST	1	3	314873	וּמָדַ֗י	H4074	and Media	
EST	1	3	314877	לְפָנָֽיו׃	H6440	[were there]	,
EST	1	3	314874	הַֽפַּרְתְּמִ֛ים	H6579	along with the nobles	
EST	1	3	314875	וְשָׂרֵ֥י	H8269	and princes	
EST	1	3	314876	הַמְּדִינ֖וֹת	H4082	of the provinces	.
EST	1	4	314898	רַבִּ֔ים	H7227	And for a full	
EST	1	4	314899	שְׁמוֹנִ֥ים	H8084	180	
EST	1	4	314900	וּמְאַ֖ת	H3967	. . .	
EST	1	4	314901	יֽוֹם׃	H3117	. . .	
EST	1	4	314897	יָמִ֣ים	H3117	days	
EST	1	4	314888	בְּהַרְאֹת֗וֹ	H7200	he displayed	
EST	1	4	314889	אֶת־	H853	-	
EST	1	4	314891	כְּב֣וֹד	H3519	the glorious	
EST	1	4	314890	עֹ֙שֶׁר֙	H6239	riches	
EST	1	4	314892	מַלְכוּת֔וֹ	H4438	of his kingdom	
EST	1	4	314893	וְאֶ֨ת־	H853	and	
EST	1	4	314895	תִּפְאֶ֖רֶת	H8597	the magnificent	
EST	1	4	314894	יְקָ֔ר	H3366	splendor	
EST	1	4	314896	גְּדוּלָּת֑וֹ	H1420	of his greatness	.
EST	1	5	314912	וּבִמְל֣וֹאת׀	H4390	At the end	
EST	1	5	314914	הָאֵ֗לֶּה	H428	of this	
EST	1	5	314913	הַיָּמִ֣ים	H3117	time	,
EST	1	5	314929	גִּנַּ֥ת	H1594	in the garden	
EST	1	5	314928	בַּחֲצַ֕ר	H2691	court	
EST	1	5	314931	הַמֶּֽלֶךְ׃	H4428	of the royal	
EST	1	5	314930	בִּיתַ֖ן	H1055	palace	,
EST	1	5	314916	הַמֶּ֡לֶךְ	H4428	the king	
EST	1	5	314915	עָשָׂ֣ה	H6213	held	
EST	1	5	314926	שִׁבְעַ֣ת	H7651	a seven-day	
EST	1	5	314927	יָמִ֑ים	H3117	. . .	
EST	1	5	314925	מִשְׁתֶּ֖ה	H4960	feast	
EST	1	5	314917	לְכָל־	H3605	for all	
EST	1	5	314918	הָעָ֣ם	H5971	the people	
EST	1	5	314919	הַנִּמְצְאִים֩	H4672	-	
EST	1	5	314921	הַבִּירָ֜ה	H1002	in the citadel	
EST	1	5	314920	בְּשׁוּשַׁ֨ן	H7800	of Susa	,
EST	1	5	314924	קָטָ֛ן	H6996	from the least	
EST	1	5	314923	וְעַד־	H5704	to	
EST	1	5	314922	לְמִגָּ֧דוֹל	H1419	the greatest	.
EST	1	6	314942	ח֣וּר׀	H2353	[Hangings of] white	
EST	1	6	314944	וּתְכֵ֗לֶת	H8504	and blue	
EST	1	6	314943	כַּרְפַּ֣ס	H3768	linen	
EST	1	6	314945	אָחוּז֙	H270	were fastened	
EST	1	6	314946	בְּחַבְלֵי־	H2256	with cords	
EST	1	6	314947	ב֣וּץ	H948	of fine white	
EST	1	6	314948	וְאַרְגָּמָ֔ן	H713	and purple [material]	
EST	1	6	314949	עַל־	H5921	to	
EST	1	6	314951	כֶ֖סֶף	H3701	silver	
EST	1	6	314950	גְּלִ֥ילֵי	H1550	rings	
EST	1	6	314953	שֵׁ֑שׁ	H8336	on the marble	
EST	1	6	314952	וְעַמּ֣וּדֵי	H5982	pillars	.
EST	1	6	314955	זָהָ֣ב	H2091	Gold	
EST	1	6	314956	וָכֶ֗סֶף	H3701	and silver	
EST	1	6	314954	מִטּ֣וֹת׀	H4296	couches	
EST	1	6	314957	עַ֛ל	H5921	were arranged	
EST	1	6	314958	רִֽצְפַ֥ת	H7531	on a mosaic pavement	
EST	1	6	314959	בַּהַט־	H923	of porphyry	,
EST	1	6	314960	וָשֵׁ֖שׁ	H8336	marble	,
EST	1	6	314961	וְדַ֥ר	H1858	mother-of-pearl	,
EST	1	6	314962	וְסֹחָֽרֶת׃	H5508	and other costly stones	.
EST	1	7	314973	וְהַשְׁקוֹת֙	H8248	Beverages were served	
EST	1	7	314974	בִּכְלֵ֣י	H3627	in an array of goblets	
EST	1	7	314975	זָהָ֔ב	H2091	of gold	,
EST	1	7	314976	וְכֵלִ֖ים	H3627	each	
EST	1	7	314977	מִכֵּלִ֣ים	H3627	. . .	
EST	1	7	314978	שׁוֹנִ֑ים	H8138	with a different design	,
EST	1	7	314980	מַלְכ֛וּת	H4438	and the royal	
EST	1	7	314979	וְיֵ֥ין	H3196	wine	
EST	1	7	314981	רָ֖ב	H7227	flowed freely	,
EST	1	7	314983	הַמֶּֽלֶךְ׃	H4428	according to the king’s	
EST	1	7	314982	כְּיַ֥ד	H3027	bounty	.
EST	1	8	314995	כַדָּ֖ת	H1881	By	
EST	1	8	315000	יִסַּ֣ד	H3245	order	
EST	1	8	315001	הַמֶּ֗לֶךְ	H4428	of the king	,
EST	1	8	314996	אֵ֣ין	H369	no	
EST	1	8	314997	אֹנֵ֑ס	H597	limit was placed	
EST	1	8	314998	כִּי־	H3588		
EST	1	8	314999	כֵ֣ן׀	H3651		
EST	1	8	314994	וְהַשְּׁתִיָּ֥ה	H8360	on the drinking	,
EST	1	8	315002	עַ֚ל	H5921	. . .	
EST	1	8	315003	כָּל־	H3605	and every	
EST	1	8	315004	רַ֣ב	H7227	official	
EST	1	8	315005	בֵּית֔וֹ	H1004	of his household	
EST	1	8	315006	לַעֲשׂ֖וֹת	H6213	was to serve	
EST	1	8	315008	אִישׁ־	H376	each	
