book	chapter	verse	sort	hebrew	strong	bsb	pnc
JOB	1	1	319597	הָיָ֥ה	H1961	There was	
JOB	1	1	319596	אִ֛ישׁ	H376	a man	
JOB	1	1	319598	בְאֶֽרֶץ־	H776	in the land	
JOB	1	1	319599	ע֖וּץ	H5780	of Uz	
JOB	1	1	319601	שְׁמ֑וֹ	H8034	whose name [was]	
JOB	1	1	319600	אִיּ֣וֹב	H347	Job	.
JOB	1	1	319603	הָאִ֣ישׁ	H376	And this man	
JOB	1	1	319602	וְהָיָ֣ה׀	H1961	was	
JOB	1	1	319604	הַה֗וּא	H1931		
JOB	1	1	319605	תָּ֧ם	H8535	blameless	
JOB	1	1	319606	וְיָשָׁ֛ר	H3477	and upright	,
JOB	1	1	319607	וִירֵ֥א	H3373	fearing	
JOB	1	1	319608	אֱלֹהִ֖ים	H430	God	
JOB	1	1	319609	וְסָ֥ר	H5493	and shunning	
JOB	1	1	319610	מֵרָֽע׃	H7451	evil	.
JOB	1	2	319621	וַיִּוָּ֥לְדוּ	H3205	-	
JOB	1	2	319622	ל֛וֹ			
JOB	1	2	319623	שִׁבְעָ֥ה	H7651	He had seven	
JOB	1	2	319624	בָנִ֖ים	H1121	sons	
JOB	1	2	319625	וְשָׁל֥וֹשׁ	H7969	and three	
JOB	1	2	319626	בָּנֽוֹת׃	H1323	daughters	,
JOB	1	3	319637	וַיְהִ֣י	H1961	and he owned	
JOB	1	3	319638	מִ֠קְנֵהוּ	H4735	. . .	
JOB	1	3	319639	שִֽׁבְעַ֨ת	H7651	7,000 {}	
JOB	1	3	319640	אַלְפֵי־	H505	. . .	
JOB	1	3	319641	צֹ֜אן	H6629	sheep	,
JOB	1	3	319642	וּשְׁלֹ֧שֶׁת	H7969	3,000 {}	
JOB	1	3	319643	אַלְפֵ֣י	H505	. . .	
JOB	1	3	319644	גְמַלִּ֗ים	H1581	camels	,
JOB	1	3	319645	וַחֲמֵ֨שׁ	H2568	500	
JOB	1	3	319646	מֵא֤וֹת	H3967	. . .	
JOB	1	3	319647	צֶֽמֶד־	H6776	yoke	
JOB	1	3	319648	בָּקָר֙	H1241	of oxen	,
JOB	1	3	319649	וַחֲמֵ֣שׁ	H2568	500	
JOB	1	3	319650	מֵא֣וֹת	H3967	. . .	
JOB	1	3	319651	אֲתוֹנ֔וֹת	H860	female donkeys	,
JOB	1	3	319654	מְאֹ֑ד	H3966	and a very	
JOB	1	3	319655	וַיְהִי֙	H1961	. . .	
JOB	1	3	319653	רַבָּ֣ה	H7227	large number of	
JOB	1	3	319652	וַעֲבֻדָּ֖ה	H5657	servants	.
JOB	1	3	319657	הַה֔וּא	H1931	[Job was] the	
JOB	1	3	319658	גָּד֖וֹל	H1419	greatest	
JOB	1	3	319656	הָאִ֣ישׁ	H376	man	
JOB	1	3	319659	מִכָּל־	H3605	of all	
JOB	1	3	319660	בְּנֵי־	H1121	the people	
JOB	1	3	319661	קֶֽדֶם׃	H6924	of the East	.
JOB	1	4	319673	בָנָיו֙	H1121	[Job’s] sons	
JOB	1	4	319672	וְהָלְכ֤וּ	H1980	would take turns	
JOB	1	4	319674	וְעָשׂ֣וּ	H6213	holding	
JOB	1	4	319675	מִשְׁתֶּ֔ה	H4960	feasts	
JOB	1	4	319676	בֵּ֖ית	H1004	in their homes	,
JOB	1	4	319677	אִ֣ישׁ	H376	. . .	
JOB	1	4	319678	יוֹמ֑וֹ	H3117	. . .	
JOB	1	4	319679	וְשָׁלְח֗וּ	H7971	and they would invite	
JOB	1	4	319680	וְקָרְאוּ֙	H7121	. . .	
JOB	1	4	319681	לִשְׁלֹ֣שֶׁת	H7969	their three	
JOB	1	4	319684	אַחְיֹתֵיהֶם	H269	sisters	
JOB	1	4	319686	לֶאֱכֹ֥ל	H398	to eat	
JOB	1	4	319687	וְלִשְׁתּ֖וֹת	H8354	and drink	
JOB	1	4	319688	עִמָּהֶֽם׃	H5973	with them	.
JOB	1	5	319699	וַיְהִ֡י	H1961	And	
JOB	1	5	319700	כִּ֣י	H3588	when	
JOB	1	5	319702	יְמֵ֨י	H3117	the days	
JOB	1	5	319703	הַמִּשְׁתֶּ֜ה	H4960	of feasting	
JOB	1	5	319701	הִקִּיפֽוּ֩	H5362	were over	,
JOB	1	5	319705	אִיּ֣וֹב	H347	Job	
JOB	1	5	319704	וַיִּשְׁלַ֧ח	H7971	would send [for his children]	
JOB	1	5	319706	וַֽיְקַדְּשֵׁ֗ם	H6942	to purify them	,
JOB	1	5	319707	וְהִשְׁכִּ֣ים	H7925	rising early	
JOB	1	5	319708	בַּבֹּקֶר֮	H1242	in the morning	
JOB	1	5	319709	וְהֶעֱלָ֣ה	H5927	to offer	
JOB	1	5	319710	עֹלוֹת֮	H5930	burnt offerings	
JOB	1	5	319711	מִסְפַּ֣ר	H4557	. . .	
JOB	1	5	319712	כֻּלָּם֒	H3605	for all of them	.
JOB	1	5	319713	כִּ֚י	H3588	For	
JOB	1	5	319715	אִיּ֔וֹב	H347	Job	
JOB	1	5	319714	אָמַ֣ר	H559	thought	,
JOB	1	5	319716	אוּלַי֙	H194	Perhaps	
JOB	1	5	319718	בָנַ֔י	H1121	my children	
JOB	1	5	319717	חָטְא֣וּ	H2398	have sinned	
JOB	1	5	319719	וּבֵרֲכ֥וּ	H1288	and cursed	
JOB	1	5	319720	אֱלֹהִ֖ים	H430	God	
JOB	1	5	319721	בִּלְבָבָ֑ם	H3824	in their hearts	.
JOB	1	5	319722	כָּ֛כָה	H3602	This	
JOB	1	5	319724	אִיּ֖וֹב	H347	was Job’s	
JOB	1	5	319725	כָּל־	H3605	regular	
JOB	1	5	319726	הַיָּמִֽים׃פ	H3117	. . .	
JOB	1	5	319723	יַעֲשֶׂ֥ה	H6213	practice	.
JOB	1	6	319738	וַיְהִ֣י	H1961	-	
JOB	1	6	319739	הַיּ֔וֹם	H3117	One day	
JOB	1	6	319741	בְּנֵ֣י	H1121	the sons	
JOB	1	6	319742	הָאֱלֹהִ֔ים	H430	of God	
JOB	1	6	319740	וַיָּבֹ֙אוּ֙	H935	came	
JOB	1	6	319743	לְהִתְיַצֵּ֖ב	H3320	to present themselves	
JOB	1	6	319744	עַל־	H5921	before	
JOB	1	6	319745	יְהוָ֑ה	H3068	the LORD	,
JOB	1	6	319748	הַשָּׂטָ֖ן	H7854	and Satan	
JOB	1	6	319747	גַֽם־	H1571	also	
JOB	1	6	319746	וַיָּב֥וֹא	H935	came	
JOB	1	6	319749	בְּתוֹכָֽם׃	H8432	with them	.
JOB	1	7	319764	מֵאַ֣יִן	H370	Where	
JOB	1	7	319765	תָּבֹ֑א	H935	have you come from	?”
JOB	1	7	319760	וַיֹּ֧אמֶר	H559	said	
JOB	1	7	319761	יְהוָ֛ה	H3068	the LORD	
JOB	1	7	319762	אֶל־	H413	to	
JOB	1	7	319763	הַשָּׂטָ֖ן	H7854	Satan	.
JOB	1	7	319771	מִשּׁ֣וּט	H7751	From roaming	
JOB	1	7	319772	בָּאָ֔רֶץ	H776	through the earth	,”
JOB	1	7	319767	הַשָּׂטָ֤ן	H7854	he	
JOB	1	7	319768	אֶת־	H853	-	
JOB	1	7	319769	יְהוָה֙	H3068	-	
JOB	1	7	319770	וַיֹּאמַ֔ר	H559	. . .	
JOB	1	7	319766	וַיַּ֨עַן	H6030	replied	,
