book	chapter	verse	sort	hebrew	strong	bsb	pnc
AMO	1	1	524963	דִּבְרֵ֣י	H1697	[These are] the words	
AMO	1	1	524964	עָמ֔וֹס	H5986	of Amos	,
AMO	1	1	524965	אֲשֶׁר־	H834	who	
AMO	1	1	524966	הָיָ֥ה	H1961	was	
AMO	1	1	524967	בַנֹּקְדִ֖ים	H5349	among the sheepherders	
AMO	1	1	524968	מִתְּק֑וֹעַ	H8620	of Tekoa	—
AMO	1	1	524969	אֲשֶׁר֩	H834	what	
AMO	1	1	524970	חָזָ֨ה	H2372	he saw	
AMO	1	1	524971	עַל־	H5921	concerning	
AMO	1	1	524972	יִשְׂרָאֵ֜ל	H3478	Israel	
AMO	1	1	524983	שְׁנָתַ֖יִם	H8141	two years	
AMO	1	1	524984	לִפְנֵ֥י	H6440	before	
AMO	1	1	524985	הָרָֽעַשׁ׃	H7494	the earthquake	,
AMO	1	1	524973	בִּימֵ֣י׀	H3117	in the days	
AMO	1	1	524974	עֻזִיָּ֣ה	H5818	[when] Uzziah	
AMO	1	1	524975	מֶֽלֶךְ־	H4428	[was] king	
AMO	1	1	524976	יְהוּדָ֗ה	H3063	of Judah	
AMO	1	1	524977	וּבִימֵ֞י	H3117	. . .	
AMO	1	1	524978	יָרָבְעָ֤ם	H3379	and Jeroboam	
AMO	1	1	524979	בֶּן־	H1121	son	
AMO	1	1	524980	יוֹאָשׁ֙	H3101	of Jehoash	
AMO	1	1	524981	מֶ֣לֶךְ	H4428	[was] king	
AMO	1	1	524982	יִשְׂרָאֵ֔ל	H3478	of Israel	.
AMO	1	2	524996	וַיֹּאמַ֓ר׀	H559	He said	:
AMO	1	2	524997	יְהוָה֙	H3068	The LORD	
AMO	1	2	524999	יִשְׁאָ֔ג	H7580	roars	
AMO	1	2	524998	מִצִיּ֣וֹן	H6726	from Zion	
AMO	1	2	525001	יִתֵּ֣ן	H5414	and raises	
AMO	1	2	525002	קוֹל֑וֹ	H6963	His voice	
AMO	1	2	525000	וּמִירוּשָׁלִַ֖ם	H3389	from Jerusalem	;
AMO	1	2	525004	נְא֣וֹת	H4999	the pastures	
AMO	1	2	525005	הָרֹעִ֔ים	H7462	of the shepherds	
AMO	1	2	525003	וְאָֽבְלוּ֙	H56	mourn	,
AMO	1	2	525007	רֹ֥אשׁ	H7218	and the summit	
AMO	1	2	525008	הַכַּרְמֶֽל׃פ	H3760	of Carmel	
AMO	1	2	525006	וְיָבֵ֖שׁ	H3001	withers	.
AMO	1	3	525020	כֹּ֚ה	H3541	This is what	
AMO	1	3	525022	יְהוָ֔ה	H3068	the LORD	
AMO	1	3	525021	אָמַ֣ר	H559	says	:
AMO	1	3	525023	עַל־	H5921	For	
AMO	1	3	525024	שְׁלֹשָׁה֙	H7969	three	
AMO	1	3	525025	פִּשְׁעֵ֣י	H6588	transgressions	
AMO	1	3	525026	דַמֶּ֔שֶׂק	H1834	of Damascus	,
AMO	1	3	525027	וְעַל־	H5921	even	
AMO	1	3	525028	אַרְבָּעָ֖ה	H702	four	,
AMO	1	3	525029	לֹ֣א	H3808	I will not	
AMO	1	3	525030	אֲשִׁיבֶ֑נּוּ	H7725	revoke [My judgment]	,
AMO	1	3	525031	עַל־	H5921	because	
AMO	1	3	525032	דּוּשָׁ֛ם	H1758	they threshed	
AMO	1	3	525036	הַגִּלְעָֽד׃	H1568	Gilead	
AMO	1	3	525035	אֶת־	H853	-	
AMO	1	3	525033	בַּחֲרֻצ֥וֹת	H2742	with sledges	
AMO	1	3	525034	הַבַּרְזֶ֖ל	H1270	of iron	.
AMO	1	4	525047	וְשִׁלַּ֥חְתִּי	H7971	So I will send	
AMO	1	4	525048	אֵ֖שׁ	H784	fire	
AMO	1	4	525049	בְּבֵ֣ית	H1004	upon the house	
AMO	1	4	525050	חֲזָאֵ֑ל	H2371	of Hazael	
AMO	1	4	525051	וְאָכְלָ֖ה	H398	to consume	
AMO	1	4	525052	אַרְמְנ֥וֹת	H759	the citadels	
AMO	1	4	525053	בֶּן־	H1130	of	
AMO	1	4	525054	הֲדָֽד׃	H1130	Ben-hadad	.
AMO	1	5	525065	וְשָֽׁבַרְתִּי֙	H7665	I will break down	
AMO	1	5	525066	בְּרִ֣יחַ	H1280	the gates	
