book	chapter	verse	sort	hebrew	strong	bsb	pnc
JER	1	1	437501	דִּבְרֵ֥י	H1697	[These are] the words	
JER	1	1	437502	יִרְמְיָ֖הוּ	H3414	of Jeremiah	
JER	1	1	437503	בֶּן־	H1121	son	
JER	1	1	437504	חִלְקִיָּ֑הוּ	H2518	of Hilkiah	,
JER	1	1	437505	מִן־	H4480	one of	
JER	1	1	437506	הַכֹּֽהֲנִים֙	H3548	the priests	
JER	1	1	437507	אֲשֶׁ֣ר	H834	-	
JER	1	1	437508	בַּעֲנָת֔וֹת	H6068	in Anathoth	
JER	1	1	437509	בְּאֶ֖רֶץ	H776	in the territory	
JER	1	1	437510	בִּנְיָמִֽן׃	H1144	of Benjamin	.
JER	1	2	437521	אֲשֶׁ֨ר	H834	-	
JER	1	2	437523	דְבַר־	H1697	The word	
JER	1	2	437524	יְהוָה֙	H3068	of the LORD	
JER	1	2	437522	הָיָ֤ה	H1961	came	
JER	1	2	437525	אֵלָ֔יו	H413	to [Jeremiah]	
JER	1	2	437526	בִּימֵ֛י	H3117	. . .	
JER	1	2	437532	בִּשְׁלֹשׁ־	H7969	in the thirteenth	
JER	1	2	437533	עֶשְׂרֵ֥ה	H6240	. . .	
JER	1	2	437534	שָׁנָ֖ה	H8141	year	
JER	1	2	437535	לְמָלְכֽוֹ׃	H4427	of the reign	
JER	1	2	437527	יֹאשִׁיָּ֥הוּ	H2977	of Josiah	
JER	1	2	437528	בֶן־	H1121	son	
JER	1	2	437529	אָמ֖וֹן	H526	of Amon	
JER	1	2	437530	מֶ֣לֶךְ	H4428	king	
JER	1	2	437531	יְהוּדָ֑ה	H3063	of Judah	,
JER	1	3	437546	וַיְהִ֗י	H1961	and	
JER	1	3	437547	בִּימֵ֨י	H3117	through the days	
JER	1	3	437548	יְהוֹיָקִ֤ים	H3079	of Jehoiakim	
JER	1	3	437549	בֶּן־	H1121	son	
JER	1	3	437550	יֹאשִׁיָּ֙הוּ֙	H2977	of Josiah	
JER	1	3	437551	מֶ֣לֶךְ	H4428	king	
JER	1	3	437552	יְהוּדָ֔ה	H3063	of Judah	,
JER	1	3	437553	עַד־	H5704	until	
JER	1	3	437554	תֹּם֙	H8552	. . .	
JER	1	3	437567	הַחֲמִישִֽׁי׃ס	H2549	the fifth	
JER	1	3	437566	בַּחֹ֥דֶשׁ	H2320	month	
JER	1	3	437555	עַשְׁתֵּ֣י	H6249	of the eleventh	
JER	1	3	437556	עֶשְׂרֵ֣ה	H6240	. . .	
JER	1	3	437557	שָׁנָ֔ה	H8141	year	
JER	1	3	437558	לְצִדְקִיָּ֥הוּ	H6667	of Zedekiah	
JER	1	3	437559	בֶן־	H1121	son	
JER	1	3	437560	יֹאשִׁיָּ֖הוּ	H2977	of Josiah	
JER	1	3	437561	מֶ֣לֶךְ	H4428	king	
JER	1	3	437562	יְהוּדָ֑ה	H3063	of Judah	,
JER	1	3	437563	עַד־	H5704	when	
JER	1	3	437565	יְרוּשָׁלִַ֖ם	H3389	the people of Jerusalem	
JER	1	3	437564	גְּל֥וֹת	H1540	went into exile	.
JER	1	4	437580	דְבַר־	H1697	The word	
JER	1	4	437581	יְהוָ֖ה	H3068	of the LORD	
JER	1	4	437579	וַיְהִ֥י	H1961	came	
JER	1	4	437582	אֵלַ֥י	H413	to me	,
JER	1	4	437583	לֵאמֹֽר׃	H559	saying	:
JER	1	5	437594	בְּטֶ֨רֶם	H2962	Before	
JER	1	5	437597	אֶצּוֹרְךָ	H3335	I formed	
JER	1	5	437599	בַבֶּ֙טֶן֙	H990	you in the womb	
JER	1	5	437600	יְדַעְתִּ֔יךָ	H3045	I knew you	,
JER	1	5	437601	וּבְטֶ֛רֶם	H2962	and before	
JER	1	5	437602	תֵּצֵ֥א	H3318	you were born	
JER	1	5	437603	מֵרֶ֖חֶם	H7358	. . .	
JER	1	5	437604	הִקְדַּשְׁתִּ֑יךָ	H6942	I set you apart	
JER	1	5	437607	נְתַתִּֽיךָ׃	H5414	[and] appointed you	
JER	1	5	437605	נָבִ֥יא	H5030	as a prophet	
JER	1	5	437606	לַגּוֹיִ֖ם	H1471	to the nations	.
JER	1	6	437619	אֲהָהּ֙	H162	Ah	,
JER	1	6	437620	אֲדֹנָ֣י	H136	Lord	
JER	1	6	437621	יְהֹוִ֔ה	H3069	GOD	,
